position;id_category;id_product;reference;id_shop_default;ean13;price_tax_excluded;ecotax_tax_excluded;id_tax_rules_group;active;price_professionnel;price_particulier;price_professionnel_raw;price_particulier_raw;price_tax_included_particulier;price_tax_included_professionnel;name;link_rewrite;category;id_image;legend;final_price_tax_excluded;quantity
1006;122;11465;NSB-5051888255544;1;5051888255544;0.000000;0.000000;70;1;"12.50 €";"12.50 €";12.500000;12.500000;"15.00 €";"15.00 €";"Tom et Jerry Blu-ray";tom-et-jerry-blu-ray;"DVD & Blueray";24176;;0.000000;1
1005;122;11464;NSB-5051889538448;1;5051889538448;0.000000;0.000000;70;1;"44.17 €";"44.17 €";44.170000;44.170000;"53.00 €";"53.00 €";"Tim Burton";tim-burton;"DVD & Blueray";24181;;0.000000;1
1002;122;11461;NSB-5051889696681;1;5051889696681;0.000000;0.000000;70;1;"10.83 €";"10.83 €";10.830000;10.830000;"13.00 €";"13.00 €";"The Trip DVD";the-trip-dvd;"DVD & Blueray";24741;;0.000000;1
1001;122;11460;NSB-5051889696674;1;5051889696674;0.000000;0.000000;70;1;"12.50 €";"12.50 €";12.500000;12.500000;"15.00 €";"15.00 €";"The Trip Blu-ray";the-trip-blu-ray;"DVD & Blueray";26122;;0.000000;1
1000;122;11459;NSB-1011399706557;1;1011399706557;0.000000;0.000000;70;1;"6.66 €";"6.66 €";6.660000;6.660000;"7.99 €";"7.99 €";"The Requin Blu-ray";the-requin-blu-ray;"DVD & Blueray";26107;;0.000000;1
999;122;11458;NSB-5051888221297;1;5051888221297;0.000000;0.000000;70;1;"41.83 €";"41.83 €";41.830000;41.830000;"50.20 €";"50.20 €";"The Originals-Saison 3 [Blu-Ray]";the-originals-saison-3-blu-ray-;"DVD & Blueray";25072;;0.000000;1
998;122;11457;NSB-5051888170274;1;5051888170274;0.000000;0.000000;70;1;"21.66 €";"21.66 €";21.660000;21.660000;"25.99 €";"25.99 €";"The Originals-Saison 1 [Blu-Ray]";the-originals-saison-1-blu-ray-;"DVD & Blueray";26110;;0.000000;1
995;122;11454;NSB-5051889707264;1;5051889707264;0.000000;0.000000;70;1;"10.83 €";"10.83 €";10.830000;10.830000;"13.00 €";"13.00 €";"The Medium DVD";the-medium-dvd;"DVD & Blueray";26113;;0.000000;1
994;122;11453;NSB-5051888259771;1;5051888259771;0.000000;0.000000;70;1;"12.50 €";"12.50 €";12.500000;12.500000;"15.00 €";"15.00 €";"The Matrix Resurrections Blu-ray";the-matrix-resurrections-blu-ray;"DVD & Blueray";23535;;0.000000;1
992;122;11451;NSB-3475001060198;1;3475001060198;0.000000;0.000000;70;1;"10.83 €";"10.83 €";10.830000;10.830000;"13.00 €";"13.00 €";"The Great Battle, L'ultime bataille DVD";the-great-battle-l-ultime-bataille-dvd;"DVD & Blueray";26124;;0.000000;1
991;122;11450;NSB-3475001060204;1;3475001060204;0.000000;0.000000;70;1;"14.13 €";"14.13 €";14.130000;14.130000;"16.96 €";"16.96 €";"The Great Battle, L'ultime bataille Blu-ray";the-great-battle-l-ultime-bataille-blu-ray;"DVD & Blueray";26128;;0.000000;1
990;122;11449;NSB-3475001059758;1;3475001059758;0.000000;0.000000;70;1;"8.33 €";"8.33 €";8.330000;8.330000;"10.00 €";"10.00 €";"The Gentlemen DVD";the-gentlemen-dvd;"DVD & Blueray";26130;;0.000000;1
989;122;11448;NSB-5051888252680;1;5051888252680;0.000000;0.000000;70;1;"51.88 €";"51.88 €";51.880000;51.880000;"62.26 €";"62.26 €";"The Dark Knight Rises Steelbook 2020 Blu-ray";the-dark-knight-rises-steelbook-2020-blu-ray;"DVD & Blueray";26133;;0.000000;1
